word,count
major,2
maker,2
makes,15
mamma,2
manly,4
march,4
marks,11
marry,12
marsh,3
masts,1
match,6
mates,2
maybe,5
mayor,7
means,37
meant,24
meats,1
meaty,1
medal,1
meets,1
melts,1
mercy,13
merit,7
merry,21
metal,6
midst,7
might,222
miles,12
mills,12
mince,2
minds,4
mines,1
minor,4
miser,2
misty,4
mixed,3
mixes,1
model,4
moist,1
molly,2
monde,2
money,95
monks,1
monny,1
month,3
moody,1
moped,1
mopes,1
moral,7
moths,1
motht,1
motto,3
mould,10
moult,1
mound,2
mount,2
mourn,1
mouth,36
moved,26
moves,4
muddy,4
music,10
mussy,1
mustn,9
mutes,1
nable,1
nails,1
naked,1
named,6
names,14
natur,2
necks,1
needn,12
needy,1
nelly,7
nests,1
never,341
nevvy,2
newly,8
niche,1
niece,7
night,231
ninth,1
nited,2
niver,1
noble,7
nobly,1
noddy,9
noise,13
noisy,3
nooks,1
north,3
nosed,3
noses,4
noted,4
notes,13
nurse,8
oaken,1
oaths,1
occur,1
ocean,3
odder,1
oddly,1
odour,1
offer,11
often,72
oiled,1
older,6
olive,3
opens,4
opera,2
opium,1
order,21
organ,5
ought,34
outer,18
overs,1
owing,2
owner,4
paced,3
paces,5
pages,3
pains,7
paint,4
paler,1
palms,1
palsy,1
panel,1
panes,2
pangs,2
paper,38
paris,2
parks,3
parts,5
party,20
paste,1
pasty,1
patch,4
paths,1
pause,8
paved,1
payer,1
peace,24
pearl,1
peeps,1
peepy,11
pence,6
penny,8
perch,2
peril,3
peter,4
petty,1
piano,6
piece,31
pikes,1
pills,2
pinch,44
pints,2
pious,2
piper,2
pipes,3
pitch,4
place,155
plaid,1
plain,18
plane,3
plank,1
plans,10
plant,2
plash,1
plate,8
plays,1
plies,1
plots,3
pluck,1
point,49
poise,1
poked,3
poker,3
pokes,2
polly,2
porch,5
posts,3
pouch,1
pound,15
power,23
prays,1
preju,1
press,4
price,12
pride,15
prime,2
print,5
prize,2
prone,2
prong,1
proof,5
prosa,2
prose,2
pross,7
proud,18
prove,7
pshaw,1
puffs,1
puffy,1
pulls,4
pulse,3
punch,8
pupil,13
purer,2
purge,1
purse,5
pussy,6
quack,3
quale,1
quays,1
queen,5
queer,1
quest,3
quick,19
quiet,58
quilp,49
quite,251
quoth,1
rabbi,1
races,2
raged,2
rages,1
rails,3
rains,1
raise,7
raked,1
rakes,1
rally,3
range,5
ranks,1
rapid,4
rated,1
raven,1
razor,1
reach,7
reads,1
ready,41
rebel,1
refer,5
reign,1
reins,3
relic,1
renew,1
rents,4
repay,3
repel,2
reply,19
rests,1
rhyme,1
rider,2
rides,1
ridge,1
rifle,3
right,121
rigid,3
rills,1
rings,4
risen,5
rises,5
rival,2
river,32
roads,3
roars,1
roast,3
robed,1
robin,1
rocks,2
roger,4
rogue,8
rolls,1
roman,3
roofs,3
rooks,3
rooms,20
roots,1
roses,1
rouge,2
rough,14
round,113
rouse,1
route,1
rowdy,2
rowed,2
royal,5
ruddy,1
ruins,1
ruler,1
rules,2
rumty,2
rural,1
rusks,1
rusty,7
sable,1
sadly,2
saint,14
sakes,2
salem,1
sally,10
salts,2
sambo,1
sammy,2
sandy,1
sarah,8
sarse,1
satan,1
saved,9
sawed,1
sayin,1
scale,6
scaly,1
scarf,2
scene,11
scent,2
scope,1
score,6
scorn,3
scott,1
scout,1
screw,2
scrip,1
scuse,2
seats,2
sedan,1
seeks,1
seems,15
seize,1
sends,1
sense,33
serve,8
seven,22
sewer,3
sexes,1
shade,3
shake,14
shall,146
shame,14
shape,6
share,8
sharp,14
shave,1
shawl,4
sheds,2
sheen,1
sheep,6
sheer,1
sheet,6
shelf,5
shell,7
shine,4
ships,9
shirt,10
shock,6
shoes,13
shone,8
shook,25
shops,5
shore,11
shorn,1
short,80
shout,1
shown,8
shows,3
shrub,1
shrug,1
shuts,1
shyer,1
shyly,1
sides,7
sight,37
signs,6
silas,20
silly,5
since,97
sings,1
sissy,26
sitch,1
sixth,2
sixty,5
sized,4
skase,1
skate,1
skill,3
skims,1
skins,1
skirt,2
slack,1
slain,1
slate,3
slave,2
sleek,1
sleep,31
sleet,1
slept,10
slide,1
slips,1
slops,1
sloth,1
slung,1
slunk,1
slyly,1
slyme,9
small,58
smart,6
smash,5
smear,3
smell,10
smelt,4
smile,33
smoke,19
smoky,1
smote,1
snags,1
snail,1
snake,1
sniff,4
snobs,1
snore,1
snuff,4
sober,4
soles,2
solid,4
songs,2
sooth,2
sophy,15
sores,1
sorry,26
sorts,3
souls,1
sound,36
south,4
space,5
spade,1
spake,1
spare,13
spark,2
spars,1
speak,62
speck,1
speed,7
spell,2
spend,4
spent,4
spies,3
spine,1
spire,1
spirt,1
spite,14
spits,1
split,2
spoil,1
spoke,33
spoon,3
sport,1
spots,3
spout,3
squod,1
stabs,2
stack,2
staff,4
stage,10
staid,1
stair,2
stake,3
stale,3
stalk,1
stall,4
stamp,2
stand,35
stare,5
stark,1
stars,9
start,22
state,81
stave,5
stays,1
steak,1
steal,1
steam,8
steel,3
stems,1
steps,19
stern,3
stick,18
stiff,8
still,181
sting,3
stock,15
stole,7
stone,30
stony,5
stood,77
stool,5
stoop,1
stops,7
store,2
